Zlato za 10 000 dolarů?	$10,000 Gold?
SAN FRANCISCO – Vést racionální rozhovor o hodnotě zlata nikdy nebylo snadné.	SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.
V poslední době, kdy se ceny zlata zvedly o více než 300% za deset let, je to ještě těžší.	Lately, with gold prices up more than 300% over the last decade, it is harder than ever.
Loni v prosinci napsali kolegové-ekonomové Martin Feldstein a Nouriel Roubini komentáře, v nichž odvážně zpochybnili „býčí“ náladu na trhu a rozumně poukázali na rizika spojená se zlatem.	Just last December, fellow economists Martin Feldstein and Nouriel Roubini each penned op-eds bravely questioning bullish market sentiment, sensibly pointing out gold’s risks.
A co se nestalo?	Wouldn’t you know it?
Od zveřejnění jejich článků se cena zlata vyšplhala ještě výše, a nedávno dokonce dosáhla rekordních 1300 dolarů.	Since their articles appeared, the price of gold has moved up still further. Gold prices even hit a record-high $1,300 recently.
Už loni v prosinci přitom mnoho „zlatých nadšenců“ tvrdilo, že cena této komodity nevyhnutelně směřuje k hranici 2000 dolarů.	Last December, many gold bugs were arguing that the price was inevitably headed for $2,000.
A někteří z nich, osmělení jeho setrvalým zhodnocováním, dnes naznačují, že by zlato mohlo stát ještě více.	Now, emboldened by continuing appreciation, some are suggesting that gold could be headed even higher than that.
Jeden úspěšný investor do zlata mi nedávno vysvětloval, že ceny akcií více než deset let skomíraly a vzpamatovaly se až na počátku 80. let, kdy Dow Jonesův index překročil hranici 1000 bodů.	One successful gold investor recently explained to me that stock prices languished for a more than a decade before the Dow Jones index crossed the 1,000 mark in the early 1980’s.
Od té doby se index vyšplhal nad 10 000 bodů.	Since then, the index has climbed above 10,000.
Není tedy možné, že se také hodnota zlata, která se již přehoupla přes magickou hranici 1000 dolarů, desetinásobně zvýší?	Now that gold has crossed the magic $1,000 barrier, why can’t it increase ten-fold, too?
Připusťme, že dospět k mnohem vyšší ceně za zlato není tak nepředstavitelné, jak se zdá.	Admittedly, getting to a much higher price for gold is not quite the leap of imagination that it seems.
Očistíme-li současnou cenu o inflaci, pak se ani neblíží k rekordnímu maximu z ledna 1980.	After adjusting for inflation, today’s price is nowhere near the all-time high of January 1980.
Tehdy dosáhlo zlato hodnoty 850 dolarů, což je hodně přes 2000 dnešních dolarů.	Back then, gold hit $850, or well over $2,000 in today’s dollars.
Lze však tvrdit, že cena z ledna 1980 byla „splašeným vrcholem“ dosaženým v období zvýšené geopolitické nestability.	But January 1980 was arguably a “freak peak” during a period of heightened geo-political instability.
Současná cena 1300 dolarů je tedy pravděpodobně více než dvojnásobkem velmi dlouhodobých, o inflaci očištěných, průměrných cen zlata.	At $1,300, today’s price is probably more than double very long-term, inflation-adjusted, average gold prices.
Co by tedy mohlo ospravedlnit další obrovský růst cen zlata ze současné úrovně?	So what could justify another huge increase in gold prices from here?
Jedna odpověď samozřejmě zní: naprostý kolaps dolaru.	One answer, of course, is a complete collapse of the US dollar.
Vzhledem k raketově stoupajícím schodkům a bezcílné fiskální politice si člověk klade otázku, zda by se populistická administrativa nakonec nemohla neuváženě uchýlit k tiskařským rotačkám.	With soaring deficits, and a rudderless fiscal policy, one does wonder whether a populist administration might recklessly turn to the printing press.
A pokud z toho opravdu máte strach, pak by zlato skutečně mohlo být nejspolehlivější ochranou.	And if you are really worried about that, gold might indeed be the most reliable hedge.
Jistě, někdo by mohl namítnout, že lepší a přímočařejší zajištění proti inflaci představují dluhopisy s výnosem vázaným na inflaci. „Zlatí nadšenci“ se však právem obávají, zda by vláda za extrémních okolností splnila své závazky.	Sure, some might argue that inflation-indexed bonds offer a better and more direct inflation hedge than gold. But gold bugs are right to worry about whether the government will honor its commitments under more extreme circumstances.
Jak s Carmen Reinhartovou uvádíme v nedávné knize o dějinách finančních krizí Tentokrát je to jinak, vlády zbavené peněz skutečně v mnoha případech násilně mění dluhy vázané na inflaci na dluhy nevázané, a to právě proto, aby se jejich hodnota mohla v inflaci rozpustit.	In fact, as Carmen Reinhart and I discuss in our recent book on the history of financial crises, This Time is Different, cash-strapped governments will often forcibly convert indexed debt to non-indexed debt, precisely so that its value might be inflated away.
Dokonce i Spojené státy během velké hospodářské krize ve 30. letech zrušily inflační doložky ve smlouvách o dluhopisech.	Even the United States abrogated indexation clauses in bond contracts during the Great Depression of the 1930’s.
Takže se to může stát všude.	So it can happen anywhere.
Skutečnost, že velmi vysoká inflace je možná, ji však ještě nečiní pravděpodobnou, a proto bychom měli být opatrní s tvrzením, že cenu zlata táhnou nahoru inflační očekávání.	Even so, the fact that very high inflation is possible does not make it probable, so one should be cautious in arguing that higher gold prices are being driven by inflation expectations.
Někteří experti místo toho tvrdí, že dlouhý pochod zlata směrem vzhůru je částečně důsledkem rozvoje nových finančních nástrojů, které usnadňují obchodování a spekulace se zlatem.	Some have argued instead that gold’s long upward march has been partly driven by the development of new financial instruments that make it easier to trade and speculate in gold.
Na tomto argumentu je pravděpodobně zrnko pravdy – a také jistá ironie.	There is probably some slight truth – and also a certain degree of irony – to this argument.
Koneckonců se už středověcí alchymisté zabývali tím, co dnes pokládáme za absurdní hledání cest, jak proměnit neušlechtilé kovy ve zlato.	After all, medieval alchemists engaged in what we now consider an absurd search for ways to transform base metals into gold.
Nebylo by tedy paradoxní, kdyby finanční alchymie dokázala dramaticky zvýšit cenu zlatého slitku?	Wouldn’t it be paradoxical, then, if financial alchemy could make an ingot of gold worth dramatically more?
Podle mého názoru je nejsilnějším argumentem ospravedlňujícím dnešní vysokou cenu zlata dramatické začleňování Asie, Latinské Ameriky a Blízkého východu do globální ekonomiky.	In my view, the most powerful argument to justify today’s high price of gold is the dramatic emergence of Asia, Latin America, and the Middle East into the global economy.
V době, kdy zástupy nových spotřebitelů získávají kupní sílu, poptávka zákonitě roste, což žene nahoru i cenu vzácných komodit.	As legions of new consumers gain purchasing power, demand inevitably rises, driving up the price of scarce commodities.
